"Link","Brand","Title","Price","Image_URLs","Description"
"https://www.kleinanzeigen.de/s-anzeige/druckerpatronen-multipack-fuer-canon-drucker-z-b-ip4900-neu/3217879204-225-1023","Canon","Druckerpatronen Multipack für CANON DRUCKER z.B. iP4900 - NEU","5","https://img.kleinanzeigen.de/api/v1/prod-ads/images/6b/6ba323f5-6d2e-4dbc-9425-8458ff622621?rule=$_59.AUTO;https://img.kleinanzeigen.de/api/v1/prod-ads/images/43/436dff13-25ee-4b5c-b4c0-e03e321c704b?rule=$_59.AUTO;https://img.kleinanzeigen.de/api/v1/prod-ads/images/11/11a8496a-6a50-4bce-9eeb-d50d3a1e7ccc?rule=$_59.AUTO;https://img.kleinanzeigen.de/api/v1/prod-ads/images/c9/c9334b9e-ff40-482f-9c4f-73c7c7998e6d?rule=$_59.AUTO","- von Digital Revolution  mit Chip
- 525B  526B  526Y  526M  526C
- NP s. Rechnung
- Da unser Drucker nach vielen Jahren defekt war  sind die Patronen jetzt übrig.
- ggf. zzgl.Versand
- Nichtraucherhaushalt"
"https://www.kleinanzeigen.de/s-anzeige/canon-druckerpatronen-520-521/3217873751-225-1347","Canon","Canon Druckerpatronen 520+521","VB","https://img.kleinanzeigen.de/api/v1/prod-ads/images/68/68cd543c-54d6-4aeb-8379-a40737415310?rule=$_59.AUTO","Biete hier verschiedene Druckerpatronen von Canon an. Neu & Original!!!"
"https://www.kleinanzeigen.de/s-anzeige/2-canon-drucker-defekt-an-bastler-plus-druckerpatronen/3217868781-225-1022","Canon","2 Canon Drucker defekt an Bastler plus Druckerpatronen","15","https://img.kleinanzeigen.de/api/v1/prod-ads/images/09/09e4ed25-56a8-48df-bfe1-bc987a2447ce?rule=$_59.AUTO;https://img.kleinanzeigen.de/api/v1/prod-ads/images/4f/4f19a4f0-a87e-4ca2-9bff-e7dc96d248bb?rule=$_59.AUTO;https://img.kleinanzeigen.de/api/v1/prod-ads/images/c6/c6812f1f-2f17-4d18-a911-b5d655faaf08?rule=$_59.AUTO;https://img.kleinanzeigen.de/api/v1/prod-ads/images/3c/3c03e1a1-01c7-42e3-b1eb-4bc6c2568461?rule=$_59.AUTO;https://img.kleinanzeigen.de/api/v1/prod-ads/images/08/08b0ae2e-2ac1-4964-87f7-dbcb0bcee489?rule=$_59.AUTO;https://img.kleinanzeigen.de/api/v1/prod-ads/images/78/78b9ccee-5be3-4db3-82ec-1e6ac3f46402?rule=$_59.AUTO;https://img.kleinanzeigen.de/api/v1/prod-ads/images/a1/a1acedc6-1174-4b77-a87b-f3eb734fabd8?rule=$_59.AUTO","2 defekte Drucker abzugeben  vielleicht kann jemand der sich auskennt sie noch reparieren? Plus Druckerpatronen die noch eingeschweißt sind..."
"https://www.kleinanzeigen.de/s-anzeige/druckerpatrone-canon-mg-2555s/3217849499-225-3878","Canon","Druckerpatrone Canon MG 2555s","20","https://img.kleinanzeigen.de/api/v1/prod-ads/images/d5/d5676198-5800-4517-9f72-3ccd261c375c?rule=$_59.AUTO","Ende September 2025 neu gekaufte Druckerpatrone  leider ist dann der Drucker kaputt gegangen.

Sind noch Original verpackt und waren noch nicht im Drucker.

Neupreis: 30€

20€ plus Porto"
"https://www.kleinanzeigen.de/s-anzeige/druckerpatronen-canon-570-571/3217845604-225-16513","Canon","Druckerpatronen Canon 570/571","5","https://img.kleinanzeigen.de/api/v1/prod-ads/images/36/36fbda72-e979-46ed-b5bb-fca1aba9e162?rule=$_59.AUTO;https://img.kleinanzeigen.de/api/v1/prod-ads/images/11/116d52c6-c717-465b-802a-6847cd727cca?rule=$_59.AUTO","Verkaufe diese nicht mehr benötigten Druckerpatronen.

4 mal vorhanden.
10€ pro Packung ist der Neupreis und ich hätte gerne für jede noch 5€.

Sprich alle zusammen für 20€"
"https://www.kleinanzeigen.de/s-anzeige/leere-druckerpatronen-tintenpatronen-canon-580-581-1500/3217817450-225-2107","Canon","leere DRUCKERPATRONEN TINTENPATRONEN Canon 580/581/1500","1","https://img.kleinanzeigen.de/api/v1/prod-ads/images/1f/1ff8f6fe-3dbf-42fe-8cc4-e632d500dbfc?rule=$_59.AUTO;https://img.kleinanzeigen.de/api/v1/prod-ads/images/65/6506662c-a556-41b3-a2b5-72e95d9fba06?rule=$_59.AUTO;https://img.kleinanzeigen.de/api/v1/prod-ads/images/8c/8cebecae-3824-4627-bc21-655855b2d174?rule=$_59.AUTO","!!! Preis gilt pro Stück !!!

Details -> siehe Fotos

Auf Wunsch können gerne noch weitere Fotos verschickt werden.

Vielleicht finden Sie in meinen anderen Angeboten auch noch ein nettes Schnäppchen -> Einfach anschauen!

!!! Tierfreier- und Nichtraucherhaushalt !!!

Für auf dem Postweg verloren gegangene Sendungen übernehme ich keine Haftung. Das Risiko liegt beim Käufer.

Da Privatverkauf - keine Rückgabe  keine Gewährleistung  keine Garantie. Der Privatverkauf erfolgt unter Ausschluss jeglicher Sachmängelhaftung.

Die Haftung auf Schadenersatz wegen Verletzungen von Gesundheit  Körper oder Leben und grob fahrlässiger und/oder vorsätzlicher Verletzungen meiner Pflichten als Verkäufer bleibt davon unberührt."
"https://www.kleinanzeigen.de/s-anzeige/6x-druckerpatronen-tinte-canon/3217802546-225-736","Canon","6x Druckerpatronen Tinte Canon","10","https://img.kleinanzeigen.de/api/v1/prod-ads/images/7d/7d376872-a4f1-4d60-b43c-f04ca9d876eb?rule=$_59.AUTO;https://img.kleinanzeigen.de/api/v1/prod-ads/images/75/75ce152e-d768-4f1a-a666-7241a3139b92?rule=$_59.AUTO","Unbenutzte volle Druckerpatronen für den Canon Drucker

Alle 6 werden nur zusammen verkauft.

Aufgrund des neuen EU-Rechts gelten folgende Bedingungen:

Bei dieser Anzeige handelt es sich um einen Kaufvertrag von Privat an Privat nach § 13 BGB. Die Anzeige erfolgt unter Ausschluss jeglicher Gewährleistung  Garantie und Rücknahme. Gemäß § 447 BGB gilt  dass mit Übergabe an den Versand die Gefahr auf den Käufer übergeht. Laut dem neuen EU-Recht muss dieser Zusatz unter jeder Online-Auktion/-Anzeige stehen  ansonsten haftet der Verkäufer ein ganzes Jahr für die verkaufte Ware"
"https://www.kleinanzeigen.de/s-anzeige/canon-pixma-ts5050mit-15-neuen-druckerpatronen/3217798994-225-2866","Canon","Canon PIXMA TS5050mit 15 neuen Druckerpatronen","65","https://img.kleinanzeigen.de/api/v1/prod-ads/images/37/37928d84-4632-4e53-bd84-9da24e2315f4?rule=$_59.AUTO;https://img.kleinanzeigen.de/api/v1/prod-ads/images/41/41a35b7d-7af4-4838-997b-7edbf39389f4?rule=$_59.AUTO;https://img.kleinanzeigen.de/api/v1/prod-ads/images/e0/e006724b-e04d-46be-8697-459ec2aebc7b?rule=$_59.AUTO;https://img.kleinanzeigen.de/api/v1/prod-ads/images/80/800254e8-482a-41eb-90c3-41b0743c1c72?rule=$_59.AUTO","Neupreis irgendwo bei 130-150
www.printer-care.de/de/drucker-mfp/canon-pixma-ts5050?srsltid=AfmBOooigd6Sd-kTBETqCOjhdITpQ6WjJJXVWz-5CV4vW7qYZJhF-H0E
Funktionen
Drahtlos Drucken  Kopieren  Scannen
5 separate Tintentanks:
PGI-570PGBK (Pigment-Schwarz)
CLI-571BK (Schwarz)
CLI-571C (Cyan)
CLI-571M (Magenta)
CLI-571Y (Gelb)
USB Hi-Speed (Typ B)
WLAN: IEEE802.11 b/g/n
WLAN-Sicherheit: WPA-PSK  WPA2-PSK  WEP  Administratorpasswort
WLAN-Frequenzband: 2 4 GHz"
"https://www.kleinanzeigen.de/s-anzeige/canon-druckerpatronen-pg575-und-cl576/3217788838-93-18864","Canon","Canon Druckerpatronen PG575 und CL576","20","https://img.kleinanzeigen.de/api/v1/prod-ads/images/45/45255131-d827-4e65-9805-c7df84d1f953?rule=$_59.AUTO;https://img.kleinanzeigen.de/api/v1/prod-ads/images/6c/6c3783fa-8519-4c02-b2fa-b1ca59bfa3fe?rule=$_59.AUTO","Fehlkauf von unserer Seite. Neu und unbenutzt.

Privatverkauf ohne Gewährleistung oder Garantie

Nichtraucherhaushalt

Versand bei Kostenübernahme möglich"
"https://www.kleinanzeigen.de/s-anzeige/druckerpatronen-fuer-canon-drucker-/3217779210-225-3176","Canon","Druckerpatronen für Canon-Drucker.","10","https://img.kleinanzeigen.de/api/v1/prod-ads/images/00/0063caec-b855-4adc-8b28-996a7d8f552f?rule=$_59.AUTO","Druckerpatronen für Canon-Drucker.
Neu!!

Privatverkauf – daher keine Garantie und keine Rücknahme."
